consult_id,customer_id,customer_id_raw,unit_id,unit_id_raw,consultant,channel,consult_date,duration_min,duration_flag,outcome,notes,orphan
CS00153,C00032,C00032,U0080,U0080,장채원,전화,2026-05-11,30,,계약희망,특약사항 확인 요청,
CS00154,C00334,C00334,U0014,U0014,장채원,방문,2025-10-04,15,,보류,추가 자료 요청,
CS00155,C00368,C00368,U0154,U0154,서주원,전화,2024-03-01,,비정상(0이하),계약희망,추가 자료 요청,
CS00156,C00304,C00304,U0098,U0098,한지민,전화,2024-06-06,15,,거절,계약금 조율 필요,
CS00157,C00195,C00195,U0103,U0103,안시윤,방문,2025-11-21,15,,계약희망,잔금 일정 문의,
CS00158,C00045,C00045,U0016,U0016,홍태윤,전화,2024-11-12,15,,계약희망,가격 재문의,
CS00159,C00023,C00023,,U9972,홍태윤,SNS,2026-06-28,15,,재상담예정,타 단지와 비교 중,unit
CS00160,C00373,C00373,U0089,U0089,장채원,온라인,2026-03-20,60,,보류,층향 재문의,
CS00161,C00258,C00258,U0114,U0114,한지민,전화,2024-09-26,15,,보류,전세 대비 비교 요청,
CS00162,C00597,C00597,U0026,U0026,장은서,전화,2026-03-20,60,,계약희망,,
CS00163,C00270,C00270,U0064,U0064,전동현,전화,2024-08-07,90,,계약희망,대출 상담 필요,
CS00164,C00375,C00375,U0168,U0168,조도윤,전화,2026-10-19,,비정상(0이하),보류,잔금 일정 문의,
CS00165,C00596,C00596,U0196,U0196,김서준,방문,2026-07-13,90,,재상담예정,대출 상담 필요,
CS00166,C00083,C00083,U0157,U0157,조도윤,전화,2025-05-25,10,,거절,전세 대비 비교 요청,
CS00167,C00364,C00364,U0165,U0165,한지민,전화,2024-09-01,10,,계약희망,,
CS00168,C00221,C00221,U0135,U0135,임동현,방문,2026-06-22,10,,보류,가족과 상의 후 재연락,
CS00169,C00386,C00386,U0053,U0053,전동현,전화,2026-11-20,10,,계약희망,잔금 일정 문의,
CS00170,C00023,C00023,U0169,U0169,안시윤,전화,2025-03-13,30,,계약희망,가족과 상의 후 재연락,
CS00171,C00286,C00286,U0109,U0109,한지민,전화,2026-11-10,30,,재상담예정,현장 방문 예약,
CS00172,C00381,C00381,U0049,U0049,김서준,전화,2025-05-20,10,,재상담예정,타 단지와 비교 중,
CS00173,C00019,C00019,U0030,U0030,안시윤,온라인,2025-02-06,,비정상(0이하),거절,,
CS00174,C00284,C00284,U0074,U0074,김서준,SNS,2026-05-04,15,,계약희망,계약금 조율 필요,
CS00175,C00392,C00392,U0010,U0010,김서준,온라인,2024-02-08,10,,계약희망,가족과 상의 후 재연락,
CS00176,C00088,C00088,U0113,U0113,조도윤,SNS,2025-10-25,10,,거절,가격 재문의,
CS00177,,C99156,U0088,U0088,임동현,전화,2025-03-12,,비정상(0이하),보류,잔금 일정 문의,customer
CS00178,C00548,C00548,U0048,U0048,전동현,방문,2025-11-24,,비정상(0이하),계약희망,층향 재문의,
CS00179,C00113,C00113,U0037,U0037,김서준,전화,2025-01-04,15,,보류,추가 자료 요청,
CS00180,C00083,C00083,U0037,U0037,전동현,전화,2026-04-01,90,,계약희망,대출 상담 필요,
CS00181,C00547,C00547,U0010,U0010,장채원,전화,2024-01-21,,비정상(0이하),계약희망,현장 방문 예약,
CS00182,C00518,C00518,U0061,U0061,장은서,온라인,2026-05-12,,비정상(0이하),거절,가족과 상의 후 재연락,
CS00183,C00078,C00078,U0188,U0188,전동현,전화,2025-05-06,60,,보류,가격 재문의,
CS00184,C00591,C00591,U0139,U0139,임동현,전화,2025-03-27,60,,재상담예정,계약금 조율 필요,
CS00185,C00003,C00003,U0100,U0100,홍태윤,SNS,2025-06-22,90,,보류,전세 대비 비교 요청,
CS00186,C00368,C00368,U0187,U0187,김서준,전화,2026-06-15,,비정상(0이하),보류,현장 방문 예약,
CS00187,C00081,C00081,U0139,U0139,임동현,SNS,2025-10-14,10,,보류,,
CS00188,C00317,C00317,U0111,U0111,김서준,온라인,2025-01-23,30,,계약희망,타 단지와 비교 중,
CS00189,C00442,C00442,U0206,U0206,홍태윤,방문,2025-06-15,30,,계약희망,층향 재문의,
CS00190,C00325,C00325,U0174,U0174,전동현,전화,2024-02-01,10,,거절,특약사항 확인 요청,
CS00191,C00307,C00307,U0055,U0055,장채원,방문,2024-06-20,60,,보류,잔금 일정 문의,
CS00192,C00131,C00131,U0144,U0144,조도윤,전화,2024-03-14,15,,재상담예정,추가 자료 요청,
CS00193,C00350,C00350,U0064,U0064,전동현,온라인,2026-03-15,15,,재상담예정,현장 방문 예약,
CS00194,C00540,C00540,U0006,U0006,홍태윤,방문,2025-08-19,240,이상치(장시간),재상담예정,,
CS00195,C00593,C00593,U0087,U0087,장채원,전화,2025-02-06,20,,보류,대출 상담 필요,
CS00196,C00352,C00352,U0083,U0083,전동현,전화,2024-06-20,,비정상(0이하),거절,잔금 일정 문의,
CS00197,C00508,C00508,U0134,U0134,전동현,SNS,2024-08-11,20,,거절,계약금 조율 필요,
CS00198,C00490,C00490,U0070,U0070,안시윤,전화,2026-08-22,15,,계약희망,추가 자료 요청,
CS00199,,C99389,U0052,U0052,김서준,전화,2025-07-02,45,,계약희망,현장 방문 예약,customer
CS00200,C00145,C00145,U0034,U0034,장은서,전화,2026-05-18,30,,재상담예정,,
CS00201,C00267,C00267,U0082,U0082,서주원,SNS,2024-01-26,20,,계약희망,타 단지와 비교 중,
CS00202,C00448,C00448,U0200,U0200,안시윤,방문,2024-01-24,10,,재상담예정,,
CS00203,C00250,C00250,U0028,U0028,서주원,온라인,2024-12-05,30,,계약희망,현장 방문 예약,
CS00204,C00460,C00460,U0184,U0184,장은서,SNS,2025-11-17,30,,재상담예정,전세 대비 비교 요청,
CS00205,C00336,C00336,U0188,U0188,전동현,방문,2024-08-06,,비정상(0이하),거절,타 단지와 비교 중,
CS00206,C00387,C00387,U0049,U0049,안시윤,SNS,2026-02-07,20,,계약희망,잔금 일정 문의,
CS00207,C00434,C00434,U0164,U0164,임동현,전화,2025-05-27,60,,거절,잔금 일정 문의,
CS00208,C00005,C00005,U0017,U0017,서주원,방문,2026-01-20,90,,계약희망,특약사항 확인 요청,
CS00209,C00538,C00538,U0093,U0093,한지민,전화,2026-11-03,240,이상치(장시간),재상담예정,특약사항 확인 요청,
CS00210,C00034,C00034,U0126,U0126,홍태윤,전화,2026-04-08,240,이상치(장시간),재상담예정,계약금 조율 필요,
CS00211,C00136,C00136,U0204,U0204,장은서,온라인,2025-08-28,,비정상(0이하),재상담예정,가격 재문의,
CS00212,C00021,C00021,U0098,U0098,전동현,전화,2026-03-13,60,,보류,타 단지와 비교 중,
CS00213,C00415,C00415,U0056,U0056,안시윤,SNS,2025-08-05,45,,보류,잔금 일정 문의,
CS00214,C00461,C00461,U0049,U0049,홍태윤,방문,2026-08-14,90,,계약희망,특약사항 확인 요청,
CS00215,C00007,C00007,U0083,U0083,조도윤,방문,2026-05-05,30,,재상담예정,계약금 조율 필요,
CS00216,C00434,C00434,U0162,U0162,김서준,방문,2026-05-22,240,이상치(장시간),계약희망,잔금 일정 문의,
CS00217,C00403,C00403,U0207,U0207,서주원,전화,2024-06-19,,비정상(0이하),재상담예정,가족과 상의 후 재연락,
CS00218,C00271,C00271,U0177,U0177,조도윤,전화,2025-11-16,45,,거절,추가 자료 요청,
CS00219,C00368,C00368,U0083,U0083,장채원,SNS,2026-04-23,240,이상치(장시간),보류,계약금 조율 필요,
CS00220,C00265,C00265,U0005,U0005,장채원,전화,2024-07-25,20,,재상담예정,전세 대비 비교 요청,
CS00221,C00360,C00360,U0100,U0100,전동현,방문,2025-12-05,60,,계약희망,특약사항 확인 요청,
CS00222,C00074,C00074,U0124,U0124,장채원,SNS,2025-06-16,60,,보류,전세 대비 비교 요청,
CS00223,C00014,C00014,U0188,U0188,한지민,SNS,2024-09-26,,비정상(0이하),재상담예정,추가 자료 요청,
CS00224,C00028,C00028,U0053,U0053,서주원,전화,2024-01-21,90,,보류,계약금 조율 필요,
CS00225,C00498,C00498,U0041,U0041,한지민,SNS,2025-02-09,,비정상(0이하),재상담예정,잔금 일정 문의,
CS00226,C00394,C00394,U0083,U0083,조도윤,방문,2024-01-28,60,,거절,추가 자료 요청,
CS00227,C00586,C00586,U0161,U0161,장채원,전화,2025-07-06,60,,거절,전세 대비 비교 요청,
CS00228,C00011,C00011,U0131,U0131,서주원,방문,2026-12-05,,비정상(0이하),계약희망,타 단지와 비교 중,
CS00229,C00091,C00091,U0093,U0093,서주원,방문,2025-02-14,60,,계약희망,층향 재문의,
CS00230,C00207,C00207,U0102,U0102,장은서,온라인,2026-02-27,30,,보류,가족과 상의 후 재연락,
CS00231,C00375,C00375,,U9982,전동현,SNS,2026-04-16,10,,보류,타 단지와 비교 중,unit
CS00232,C00455,C00455,U0100,U0100,한지민,방문,2026-07-01,,비정상(0이하),재상담예정,층향 재문의,
CS00233,C00510,C00510,U0151,U0151,안시윤,방문,2024-10-16,10,,거절,층향 재문의,
CS00234,C00148,C00148,U0039,U0039,한지민,전화,2026-12-20,45,,보류,가족과 상의 후 재연락,
CS00235,C00371,C00371,U0051,U0051,장은서,전화,2025-07-04,45,,계약희망,현장 방문 예약,
CS00236,C00235,C00235,U0011,U0011,임동현,전화,2024-12-28,30,,보류,전세 대비 비교 요청,
CS00237,C00131,C00131,U0014,U0014,임동현,전화,2024-10-27,45,,보류,타 단지와 비교 중,
CS00238,C00393,C00393,U0185,U0185,홍태윤,방문,2025-08-13,240,이상치(장시간),계약희망,잔금 일정 문의,
CS00239,C00294,C00294,U0028,U0028,한지민,전화,2024-10-02,10,,재상담예정,추가 자료 요청,
CS00240,C00575,C00575,U0025,U0025,안시윤,방문,2024-11-07,90,,계약희망,잔금 일정 문의,
CS00241,C00079,C00079,U0078,U0078,장은서,온라인,2025-04-04,10,,보류,계약금 조율 필요,
CS00242,C00169,C00169,U0070,U0070,홍태윤,SNS,2026-10-16,15,,재상담예정,가격 재문의,
CS00243,C00185,C00185,U0213,U0213,서주원,전화,2024-01-19,10,,재상담예정,가족과 상의 후 재연락,
CS00244,,C99278,U0049,U0049,장채원,전화,2025-01-21,10,,재상담예정,가족과 상의 후 재연락,customer
CS00245,C00359,C00359,U0023,U0023,안시윤,전화,2025-08-18,20,,계약희망,타 단지와 비교 중,
CS00246,C00596,C00596,U0089,U0089,안시윤,전화,2026-07-12,,비정상(0이하),재상담예정,,
CS00247,C00387,C00387,U0111,U0111,장은서,방문,2025-03-11,60,,보류,가격 재문의,
CS00248,C00135,C00135,U0161,U0161,장채원,온라인,2025-09-21,20,,보류,추가 자료 요청,
CS00249,C00166,C00166,U0108,U0108,서주원,전화,2026-09-02,,비정상(0이하),계약희망,,
CS00250,C00148,C00148,U0176,U0176,안시윤,전화,2025-08-04,60,,재상담예정,가족과 상의 후 재연락,
CS00251,C00381,C00381,U0105,U0105,홍태윤,SNS,2024-04-21,,비정상(0이하),계약희망,대출 상담 필요,
CS00252,C00216,C00216,U0019,U0019,한지민,SNS,2025-04-25,90,,계약희망,가족과 상의 후 재연락,
CS00253,,C99302,U0031,U0031,장은서,방문,2026-02-03,45,,거절,,customer
CS00254,,C99611,U0077,U0077,장채원,방문,2025-04-10,90,,계약희망,가격 재문의,customer
