unit_id,building,floor,unit_no,type,area_m2,price_listed,price_ref,price_flag,status,direction,view
U0031,101,8,03,102A,102,258109,21702,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,남향,도로뷰
U0032,101,8,04,59A,59,183278,30473,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남동향,한강뷰
U0033,101,9,01,59A,59,188552,31350,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,서향,한강뷰
U0034,101,9,02,59A,59,159190,26468,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,서향,단지내뷰
U0035,101,9,03,102A,102,340631,28640,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),예약,남서향,도로뷰
U0036,101,9,04,59B,60,156389,26155,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남향,도로뷰
U0037,101,10,01,59B,60,136338,22802,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),예약,동향,평범
U0038,101,10,02,84A,84,252329,25577,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),보류,서향,단지내뷰
U0039,101,10,03,74A,74,189805,23440,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,서향,단지내뷰
U0040,101,10,04,59B,60,156004,26091,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),계약완료,남동향,공원뷰
U0041,101,11,01,74A,74,207826,25665,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남서향,평범
U0042,101,11,02,84B,85,218914,20694,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,북향,한강뷰
U0043,101,11,03,59B,60,196990,32945,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남동향,도로뷰
U0044,101,11,04,84A,84,245951,24931,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,북향,평범
U0045,101,12,01,59A,59,195904,32572,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),예약,북향,한강뷰
U0046,101,12,02,114A,114,284537,22303,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),예약,동향,단지내뷰
U0047,101,12,03,84B,85,250961,23723,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남동향,도로뷰
U0048,101,12,04,59A,59,176251,29305,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남향,평범
U0049,101,13,01,114A,114,372025,29161,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),보류,남향,한강뷰
U0050,101,13,02,74A,74,178871,22089,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,서향,단지내뷰
U0051,101,13,03,84A,84,240501,24378,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,남동향,단지내뷰
U0052,101,13,04,102A,102,236789,19909,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,동향,단지내뷰
U0053,101,14,01,102A,102,326886,27485,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남서향,공원뷰
U0054,101,14,02,74A,74,211309,26095,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),예약,남향,평범
U0055,101,14,03,84B,85,220904,20882,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,동향,단지내뷰
U0056,101,14,04,59A,59,191472,31835,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남향,평범
U0057,101,15,01,59A,59,191182,31787,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남향,도로뷰
U0058,101,15,02,84A,84,267213,27086,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),보류,남동향,도로뷰
U0059,101,15,03,114A,114,354481,27786,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,북향,공원뷰
U0060,101,15,04,102A,102,228144,19182,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남서향,공원뷰
U0061,101,16,01,59B,60,196185,32811,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,북향,평범
U0062,101,16,02,74A,74,207842,25667,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남동향,평범
U0063,101,16,03,74A,74,204564,25262,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남향,평범
U0064,101,16,04,84A,84,256986,26049,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,북향,한강뷰
U0065,101,17,01,84B,85,253290,23943,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남향,단지내뷰
U0066,101,17,02,84A,84,192060,19468,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),예약,북향,평범
U0067,101,17,03,74A,74,163280,20164,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남동향,공원뷰
U0068,101,17,04,74A,74,242449,29941,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,동향,공원뷰
U0069,101,18,01,74A,74,248011,30628,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,동향,도로뷰
U0070,101,18,02,114A,114,321593,25208,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,남서향,평범
U0071,101,18,03,84A,84,266925,27057,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남동향,단지내뷰
U0072,101,18,04,114A,114,373025,29239,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,서향,단지내뷰
U0073,101,19,01,84B,85,248414,23483,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,북향,한강뷰
U0074,101,19,02,59A,59,132491,22029,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남서향,한강뷰
U0075,101,19,03,84A,84,266525,27016,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남서향,공원뷰
U0076,101,19,04,59A,59,152286,25320,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),보류,북향,한강뷰
U0077,101,20,01,59A,59,158976,26432,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남서향,한강뷰
U0078,101,20,02,84A,84,250128,25354,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남향,공원뷰
U0079,101,20,03,74A,74,180441,22283,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,동향,단지내뷰
U0080,101,20,04,84B,85,221066,20897,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,북향,도로뷰
U0081,101,21,01,59B,60,155883,26070,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),계약완료,남동향,공원뷰
U0082,101,21,02,59A,59,198727,33042,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,남서향,한강뷰
U0083,101,21,03,59B,60,135155,22604,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),보류,서향,평범
U0084,101,21,04,84B,85,280909,26554,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,남서향,단지내뷰
U0085,101,22,01,84A,84,216825,21978,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,북향,단지내뷰
U0086,101,22,02,74A,74,217853,26903,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),보류,동향,한강뷰
U0087,101,22,03,84A,84,259361,26290,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,남향,단지내뷰
U0088,101,22,04,59A,59,145758,24235,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남향,평범
U0089,102,1,01,59B,60,139263,23291,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남향,공원뷰
U0090,102,1,02,114A,114,317931,24921,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,서향,한강뷰
U0091,102,1,03,114A,114,287301,22520,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,남동향,공원뷰
U0092,102,1,04,114A,114,372643,29210,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,북향,단지내뷰
U0093,102,2,01,59A,59,197119,32774,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),보류,남동향,평범
U0094,102,2,02,74A,74,165946,20493,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,서향,공원뷰
U0095,102,2,03,74A,74,170824,21096,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남서향,도로뷰
U0096,102,2,04,114A,114,264743,20752,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남동향,단지내뷰
U0097,102,3,01,102A,102,231660,19478,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),예약,북향,단지내뷰
U0098,102,3,02,102A,102,241988,20346,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,동향,도로뷰
U0099,102,3,03,102A,102,231996,19506,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남동향,공원뷰
U0100,102,3,04,102A,102,297801,25039,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,동향,한강뷰
U0101,102,4,01,59A,59,132230,21985,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,북향,한강뷰
U0102,102,4,02,84B,85,269608,25486,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,북향,공원뷰
U0103,102,4,03,84A,84,258966,26250,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,북향,한강뷰
U0104,102,4,04,84B,85,250945,23722,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,북향,한강뷰
U0105,102,5,01,59B,60,159376,26655,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,동향,평범
U0106,102,5,02,102A,102,337222,28354,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남향,공원뷰
U0107,102,5,03,114A,114,262837,20602,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,북향,공원뷰
U0108,102,5,04,74A,74,169172,20892,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남서향,공원뷰
U0109,102,6,01,74A,74,183392,22648,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남서향,한강뷰
U0110,102,6,02,102A,102,239226,20114,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남동향,공원뷰
U0111,102,6,03,84A,84,245606,24896,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,서향,도로뷰
U0112,102,6,04,114A,114,379204,29724,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),보류,동향,단지내뷰
U0113,102,7,01,74A,74,212480,26240,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,남향,한강뷰
U0114,102,7,02,74A,74,226423,27962,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),예약,북향,도로뷰
U0115,102,7,03,59A,59,153405,25506,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),보류,남동향,공원뷰
U0116,102,7,04,74A,74,245931,30371,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남서향,공원뷰
U0117,102,8,01,59A,59,159539,26526,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,북향,한강뷰
U0118,102,8,02,59A,59,188677,31371,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남동향,평범
U0119,102,8,03,74A,74,174346,21530,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남동향,평범
U0120,102,8,04,84A,84,188059,19062,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,남향,공원뷰
U0121,102,9,01,59B,60,177815,29738,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남동향,한강뷰
U0122,102,9,02,102A,102,286676,24104,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,서향,한강뷰
U0123,102,9,03,84B,85,245055,23165,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),보류,남동향,공원뷰
U0124,102,9,04,114A,114,257080,20151,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남동향,평범
U0125,102,10,01,114A,114,352036,27594,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),예약,남향,한강뷰
U0126,102,10,02,84B,85,255944,24194,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),예약,서향,단지내뷰
U0127,102,10,03,84A,84,258557,26208,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남동향,도로뷰
U0128,102,10,04,59B,60,179214,29972,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,동향,공원뷰
U0129,102,11,01,59A,59,164961,27427,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),예약,남향,공원뷰
U0130,102,11,02,114A,114,377165,29564,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,북향,한강뷰
U0131,102,11,03,84B,85,234666,22183,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,서향,단지내뷰
U0132,102,11,04,59A,59,144543,24033,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,서향,도로뷰
U0133,102,12,01,114A,114,292841,22954,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,북향,한강뷰
U0134,102,12,02,84A,84,191069,19367,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남동향,공원뷰
U0135,102,12,03,84A,84,195669,19834,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),예약,서향,단지내뷰
U0136,102,12,04,84B,85,240417,22727,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,서향,도로뷰
U0137,102,13,01,74A,74,236783,29241,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,동향,공원뷰
U0138,102,13,02,114A,114,261767,20519,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,남향,공원뷰
U0139,102,13,03,102A,102,330477,27787,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,남향,단지내뷰
U0140,102,13,04,102A,102,270681,22759,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),예약,서향,도로뷰
U0141,102,14,01,59A,59,173170,28792,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,남동향,공원뷰
U0142,102,14,02,74A,74,178119,21996,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,남향,단지내뷰
U0143,102,14,03,59A,59,157750,26229,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,서향,평범
U0144,102,14,04,59A,59,180966,30089,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,서향,단지내뷰
U0145,102,15,01,114A,114,334690,26235,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),예약,남서향,도로뷰
U0146,102,15,02,84A,84,236415,23964,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,서향,한강뷰
U0147,102,15,03,74A,74,186439,23024,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남동향,공원뷰
U0148,102,15,04,114A,114,324466,25433,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남서향,단지내뷰
U0149,102,16,01,114A,114,387879,30404,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,동향,평범
U0150,102,16,02,114A,114,385435,30212,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,동향,평범
U0151,102,16,03,114A,114,267856,20996,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),예약,동향,단지내뷰
U0152,102,16,04,84B,85,288041,27228,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,북향,단지내뷰
U0153,102,17,01,102A,102,250357,21050,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,남동향,평범
U0154,102,17,02,102A,102,334579,28131,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,서향,공원뷰
U0155,102,17,03,114A,114,384792,30162,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),예약,서향,공원뷰
U0156,102,17,04,114A,114,334719,26237,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남서향,한강뷰
U0157,102,18,01,102A,102,275008,23123,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,북향,도로뷰
U0158,102,18,02,59A,59,173075,28777,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,서향,평범
U0159,102,18,03,84B,85,227373,21494,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,동향,단지내뷰
U0160,102,18,04,114A,114,280686,22002,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,북향,단지내뷰
U0161,102,19,01,102A,102,254144,21368,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,서향,도로뷰
U0162,102,19,02,74A,74,179467,22163,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남동향,공원뷰
U0163,102,19,03,84B,85,274111,25912,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),보류,동향,공원뷰
U0164,102,19,04,84A,84,186587,18913,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,서향,단지내뷰
U0165,102,20,01,102A,102,321437,27026,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남향,평범
U0166,102,20,02,59A,59,148718,24727,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남동향,평범
U0167,102,20,03,84A,84,244722,24806,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,남동향,공원뷰
U0168,102,20,04,102A,102,284587,23928,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,서향,단지내뷰
U0169,102,21,01,84B,85,207158,19583,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,남서향,도로뷰
U0170,102,21,02,84A,84,256191,25968,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,북향,도로뷰
U0171,102,21,03,114A,114,363545,28496,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,동향,단지내뷰
U0172,102,21,04,114A,114,368545,28888,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,남향,단지내뷰
U0173,102,22,01,84B,85,252605,23879,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,북향,도로뷰
U0174,102,22,02,84A,84,215707,21865,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,서향,한강뷰
U0175,102,22,03,59B,60,169000,28264,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),계약완료,남동향,단지내뷰
U0176,102,22,04,84B,85,288476,27270,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),보류,북향,도로뷰
U0177,103,1,01,74A,74,220768,27263,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,동향,한강뷰
U0178,103,1,02,114A,114,300197,23531,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남동향,단지내뷰
U0179,103,1,03,74A,74,177744,21950,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남향,도로뷰
U0180,103,1,04,74A,74,236801,29243,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,동향,도로뷰
U0181,103,2,01,74A,74,178306,22020,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,동향,한강뷰
U0182,103,2,02,59B,60,200383,33513,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남향,단지내뷰
U0183,103,2,03,59A,59,195698,32538,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,남향,평범
U0184,103,2,04,114A,114,256741,20125,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,남동향,평범
U0185,103,3,01,102A,102,317955,26734,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,북향,도로뷰
U0186,103,3,02,59A,59,144575,24038,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),보류,북향,도로뷰
U0187,103,3,03,59A,59,145960,24268,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,남향,도로뷰
U0188,103,3,04,114A,114,268565,21051,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,서향,공원뷰
U0189,103,4,01,84B,85,244940,23154,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남서향,단지내뷰
U0190,103,4,02,102A,102,241197,20280,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,남향,평범
U0191,103,4,03,59A,59,192553,32015,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남동향,한강뷰
U0192,103,4,04,102A,102,225539,18963,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,북향,공원뷰
U0193,103,5,01,102A,102,264786,22263,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),미계약,북향,공원뷰
U0194,103,5,02,102A,102,327791,27561,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남서향,한강뷰
U0195,103,5,03,84B,85,222743,21056,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,북향,단지내뷰
U0196,103,5,04,84B,85,224703,21241,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,북향,도로뷰
U0197,103,6,01,84B,85,254214,24031,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남서향,도로뷰
U0198,103,6,02,84A,84,277214,28099,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),예약,서향,공원뷰
U0199,103,6,03,74A,74,236789,29242,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,북향,단지내뷰
U0200,103,6,04,74A,74,245558,30325,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,동향,한강뷰
U0201,103,7,01,114A,114,318050,24930,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),예약,서향,공원뷰
U0202,103,7,02,102A,102,312114,26243,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,서향,한강뷰
U0203,103,7,03,74A,74,224496,27724,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,북향,평범
U0204,103,7,04,84B,85,259969,24575,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,서향,도로뷰
U0205,103,8,01,84B,85,224575,21229,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,서향,도로뷰
U0206,103,8,02,102A,102,290884,24458,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,북향,평범
U0207,103,8,03,84A,84,228295,23141,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,남서향,공원뷰
U0208,103,8,04,74A,74,169445,20925,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,동향,단지내뷰
U0209,103,9,01,59B,60,197164,32974,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남향,단지내뷰
U0210,103,9,02,84B,85,243404,23009,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남향,한강뷰
U0211,103,9,03,114A,114,338133,26504,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,서향,도로뷰
U0212,103,9,04,114A,114,378607,29677,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남동향,공원뷰
U0213,103,10,01,74A,74,243216,30035,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),예약,남동향,평범
U0214,103,10,02,114A,114,303954,23825,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),보류,서향,도로뷰
U0215,103,10,03,84A,84,222608,22564,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남향,한강뷰
U0216,103,10,04,114A,114,256130,20077,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),계약완료,북향,평범
U0217,103,11,01,59A,59,148398,24674,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,동향,공원뷰
U0218,103,11,02,59A,59,161669,26880,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),보류,북향,평범
U0219,103,11,03,59B,60,163967,27422,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),계약완료,남동향,평범
