contract_id,customer_id,unit_id,contract_date,price_10k_krw,down_payment_10k_krw,loan_amount_10k_krw,status,sales_rep
K00067,C00164,U0018,2025-04-25,13229,2575,9547,complete,송준서
K00068,C00099,U0118,2024-06-21,13388,1467,9973,완료,송시우
K00069,C00440,U0178,2026-07-24,17933,2927,14958,완료,이소율
K00070,C00373,U0082,2025-10-27,20526,2982,17088,진행중,송준서
K00071,C00397,U0053,2024-12-22,38136,7501,28635,완료 ,송시우
K00072,C00225,U0142,12-08-2025,31443,5753,23770,완료 ,송준서
K00073,C00049,U0152,07-17-2026,15119,2776,11355,완료 ,권태윤
K00074,C00094,U0043,2025-01-26,25524,2599,22452,Completed,이소율
K00075,C00522,U0193,2026-01-24,15542,2431,10420,완료,권태윤
K00076,C00180,U0081,2026-03-17,18745,2712,14402,Completed,송시우
K00077,C00485,U0217,2026-11-06,23959,4647,,해지,송준서
K00078,C00041,U0024,2024-12-16,39227,7423,,완료,신지호
K00079,C00509,U0144,2024-02-25,31880,5807,23687,진행중,황다은
K00080,C00587,U0153,2024-04-03,22785,3385,19391,진행중,권태윤
K00081,C00316,U0009,2024/07/06,32914,3673,28865,완료 ,이소율
K00082,C00020,U0130,2024-04-11,17619,2994,13889,완료,황주원
K00083,C00583,U0202,10-09-2024,24394,3888,19438,완료 ,한채원
K00084,C00160,U0161,20261010,11651,2304,7027,진행중,송준서
K00085,C00487,U0002,2025-06-23,32409,5014,24503,Completed,황주원
K00086,C00188,U0127,04-15-2025,24871,2857,19447,완료,황다은
K00087,C00439,U0085,2024-02-08,13341,2214,10147,완료,한채원
K00088,C00370,U0145,2025-06-07,35065,5878,28122,해지,황주원
K00089,C00139,U0052,2024-04-05,14132,1669,12327,진행중,권태윤
K00090,C00402,U0001,2024-12-19,29161,5339,,complete,이소율
K00091,C00574,U0192,2024-08-20,17379,3388,,진행중,황다은
K00092,C00586,U0051,2026/01/17,0,0,0,완료,이소율
K00093,C00171,U0101,20250523,28320,5060,21047,해지,이소율
K00094,C00047,U0044,2026-02-04,16844,2434,12056,진행중,황주원
K00095,C00153,U0080,2025-05-01,25999,4893,,진행중,권태윤
K00096,C00083,U0205,2026-09-17,16699,3201,13084,완료,황다은
K00097,C00149,U0062,2026-12-08,20551,2174,15391,해지,이소율
K00098,C00468,U0019,2026-09-25,21161,3206,17058,complete,신지호
K00099,C00111,U0056,2024-06-28,17695,2152,,Completed,신지호
K00100,C00207,U0067,08-02-2026,31708,5384,25370,완료,신지호
K00101,C00035,U0028,2024-10-11,17216,1765,14610,진행중,황주원
K00102,C00125,U0211,2024-08-16,25286,2549,20748,진행중,송준서
K00103,C00265,U0126,2024-09-19,11666,2212,7935,완료,이소율
K00104,C00078,U0048,2024-07-06,24705,4876,18607,해지,이소율
K00105,C00541,U0163,2024-06-26,11986,2118,9318,완료,권태윤
K00106,C00226,U0195,2025-08-20,14239,1458,12131,완료,권태윤
K00107,C00540,U0059,11-20-2026,17672,2321,14037,완료,신지호
K00108,C00215,U0095,2026-05-09,20703,4040,13808,완료,이소율
K00109,C00106,U0158,2025-03-02,18529,1955,15094,complete,권태윤
K00110,C00200,U0004,2025-05-01,15711,1647,11419,complete,송시우
K00111,C00295,U0045,2024-02-08,38314,6236,31942,완료,신지호
K00112,C00337,U0011,2025-01-19,18350,3272,13303,해지,송준서
K00113,C00479,U0185,2024-01-10,19597,3357,14771,완료 ,신지호
K00114,C00467,U0025,05-24-2024,36533,5263,29606,진행중,황주원
K00115,C00166,U0006,2025-03-11,11983,1297,10525,complete,한채원
K00116,C00075,U0150,2026-02-06,13498,2419,10355,complete,송준서
K00117,C00577,U0137,2026-02-12,29715,3038,25292,완료 ,한채원
K00118,C00579,U0054,2025-02-21,18995,2813,13226,진행중,한채원
K00119,C00498,U0058,2024-12-08,15121,2571,10672,완료,황다은
K00120,C00194,U0143,2025-07-04,18322,3518,12373,complete,황다은
K00121,C00456,U0140,2026-05-03,27768,3409,24084,진행중,이소율
K00122,C00205,U0017,2024-05-24,19143,3383,13321,진행중,이소율
K00123,C00161,U0069,2026-02-23,39997,7337,30304,완료,송준서
K00124,C00487,U0014,05-13-2026,34927,6510,26758,진행중,황주원
K00125,C00470,U0168,2026-09-16,31103,6088,23056,완료 ,신지호
K00126,C00433,U0050,2026-08-07,11483,1517,9360,완료,이소율
K00127,C00042,U0071,2025-03-28,24626,3217,19535,Completed,송준서
K00128,C00251,U0032,10-04-2024,39298,5363,32899,진행중,한채원
K00129,C00008,U0139,2025-10-16,37748,3833,32193,완료 ,권태윤
K00130,C00487,U0102,2024-01-21,31384,4506,24457,Completed,이소율
K00131,C00600,U0111,2026-05-28,24592,3633,20505,complete,이소율
K00132,C00401,U0156,2024-03-12,34571,3520,,해지,황주원
K00133,C00160,U0124,2025-01-21,30345,5134,23898,complete,황다은
K00134,C00096,U0220,2025-11-07,39702,5030,33570,complete,이소율
K00135,C00006,U0147,2026-07-07,21084,3562,17509,complete,송준서
K00136,C00149,U0029,04-25-2025,0,0,0,진행중,이소율
K00137,C00410,U0091,2026-06-22,28229,4228,21727,해지,황다은
K00138,C00425,U0073,20250108,23882,4324,16953,Completed,황주원
K00139,C00085,U0204,20260321,29662,5820,22673,완료,송준서
K00140,C00407,U0020,2026-07-26,21628,2647,17069,해지,황다은
K00141,C00151,U0197,02-14-2025,28489,5683,21211,Completed,권태윤
K00142,C00527,U0037,2026-08-26,29902,3516,,완료,권태윤
K00143,C00202,U0074,2026-08-17,30476,4600,23918,완료,한채원
K00144,C00352,U0022,2024-12-10,28989,2952,24070,진행중,신지호
K00145,C00549,U0040,2026-03-25,30431,3899,26163,complete,한채원
K00146,C00029,U0177,2026/12/06,19847,2819,16016,진행중,이소율
K00147,C00259,U0134,2024/05/14,29337,3957,22704,진행중,송준서
K00148,C00114,U0164,2026-07-14,31178,4925,23903,해지,송시우
K00149,C00512,U0097,2026-04-24,38853,7233,30445,해지,신지호
K00150,C00443,U0088,2025-12-16,30572,4738,25615,완료,황다은
K00151,C00008,U0155,2025/03/22,24874,3918,19314,complete,권태윤
K00152,C00214,U0131,2024-07-15,14773,1887,10291,진행중,이소율
K00153,C00078,U0055,2025-09-23,33180,4935,26156,해지,한채원
K00154,C00116,U0107,2026-07-15,25977,3844,19928,완료,송준서
K00155,C00111,U0116,2024-08-13,38079,6794,28744,Completed,권태윤
K00156,C00427,U0219,20260504,25927,3164,22558,완료,황주원
K00157,C00068,U0120,01-15-2026,28572,3054,24372,진행중,이소율
K00158,C00375,U0199,2024-07-12,13266,1712,10090,완료,송시우
K00159,C00123,U0027,2024-02-22,38909,4333,33339,완료 ,송시우
K00160,C00565,U0187,2024-08-02,33720,5723,,완료 ,황주원
K00161,C00593,U0191,2024/02/15,10909,1965,8917,완료 ,송시우
K00162,C00124,U0135,2024-04-27,36584,5976,,완료,한채원
K00163,C00168,U0033,2026-03-14,37101,6674,29780,진행중,황주원
K00164,C00557,U0151,2024-07-03,22493,3002,17060,Completed,송준서
K00165,C00116,U0122,2026-06-28,18875,2358,16348,완료 ,한채원
K00166,C00274,U0212,20261228,35761,3692,31854,진행중,한채원
K00167,C00320,U0113,2026/06/20,39303,7711,29928,완료 ,신지호
K00168,C00277,U0049,2024-12-28,34792,5199,27803,complete,황주원
K00169,C00509,U0034,2025-07-05,21466,2164,18567,해지,송준서
K00170,C00304,U0008,2026-05-22,26391,3734,,완료 ,권태윤
K00171,C00140,U0068,2024-12-17,35466,5316,28921,완료,신지호
K00172,C00209,U0173,2025-09-01,28596,4287,22957,완료 ,송준서
K00173,C00577,U0166,2024-07-16,22498,4162,18145,해지,한채원
K00174,C00374,U0013,2025-12-05,18538,3273,13243,완료,송준서
K00175,C00055,U0035,2024-02-11,17449,2509,13240,진행중,신지호
K00176,C00291,U0026,2025-10-15,14685,1842,10536,완료,황주원
K00177,C00087,U0108,2024-08-13,12575,1809,,완료,황주원
K00178,C00475,U0077,2025-06-19,32010,6183,23163,Completed,신지호
K00179,C00272,U0172,20260111,38362,5596,,Completed,송준서
K00180,C00251,U0063,20260812,13633,2331,11278,완료 ,황주원
K00181,C00388,U0110,2026-05-12,24313,2680,19654,완료,신지호
K00182,C00330,U0070,2025-03-23,33793,3917,27610,해지,한채원
K00183,C00013,U0039,2024-01-21,14949,1660,12566,완료 ,송시우
K00184,C00516,U0167,2025/08/09,11782,2233,9131,complete,황주원
K00185,C00366,U0023,2026/08/21,22814,3629,16976,진행중,권태윤
K00186,C00324,U0083,20240118,13146,2291,8645,완료 ,송준서
K00187,C00249,U0105,20251106,34091,5637,26580,complete,권태윤
K00188,C00118,U0016,2024-06-04,39458,5440,,진행중,신지호
K00189,C00063,U0159,2026-07-28,22640,4201,,진행중,신지호
K00190,C00391,U0010,2025-04-05,30277,3476,25671,완료,신지호
K00191,C00219,U0119,2025-01-20,36239,6999,26580,완료 ,한채원
K00192,C00373,U0076,20241110,34729,3667,,complete,황주원
K00193,C00167,U0098,2025-04-28,36508,6535,29862,해지,신지호
K00194,C00469,U0065,2024-12-26,31302,5366,,완료 ,송준서
K00195,C00317,U0079,2025-10-28,18027,2650,15356,완료 ,송준서
K00196,C00311,U0087,2026-09-27,18611,2735,13194,완료,황다은
K00197,C00213,U0093,2025-05-12,16162,1623,14344,완료,한채원
K00198,C00488,U0162,2026-06-16,25800,3121,22679,진행중,이소율
K00199,C00280,U0141,20240706,26429,3503,,진행중,황다은
K00200,C00434,U0201,20251205,21820,2341,19250,진행중,황주원
K00201,C00401,U0066,20240226,26716,3937,21364,완료,송시우
K00202,C00118,U0190,2026-12-04,30811,3904,25438,해지,한채원
K00203,C00058,U0148,2024-12-27,0,0,0,complete,한채원
K00204,C00561,U0171,2025-10-20,16974,2064,12974,진행중,신지호
K00205,C00015,U0136,2026-10-09,26742,3918,22652,진행중,권태윤
K00206,C00127,U0096,2024-10-02,11678,1596,9897,진행중,황주원
K00207,C00413,U0215,2024-08-07,19734,3188,15265,완료,송시우
K00208,C00099,U0123,2025-10-10,24112,3128,19551,진행중,한채원
K00209,C00464,U0175,2026-06-23,35958,4602,29096,complete,송준서
K00210,C00171,U0100,2026-06-04,22500,3827,18232,완료 ,신지호
K00211,C00110,U0188,2024/11/25,16503,1663,13980,진행중,한채원
K00212,C00399,U0042,2025-01-25,10887,1753,8506,해지,송준서
K00213,C00568,U0214,2025-04-25,24271,4681,18349,완료 ,황다은
K00214,C00410,U0213,12-06-2024,25618,4441,19430,완료,권태윤
K00215,C00581,U0218,2025/04/17,28178,5000,22575,완료 ,송준서
K00216,C00035,U0125,2026-10-18,25208,3781,19516,Completed,황다은
K00217,C00139,U0046,2024-10-17,38713,6953,30065,Completed,이소율
K00218,C00424,U0138,2026-03-17,12228,2298,7579,완료,신지호
K00219,C00134,U0030,2026-11-17,39716,4605,33835,진행중,권태윤
K00220,C00116,U0182,2026-11-09,26501,5111,21083,진행중,황다은
K00221,C00412,U0055,2025/02/22,35761,5208,30519,완료,송시우
K00222,C00085,U0088,2026-12-01,39953,7392,31503,완료 ,송준서
K00223,C00309,U0125,2026-04-07,39493,7092,29567,진행중,신지호
K00224,C00432,U0129,2024-02-07,26526,4476,20320,Completed,황주원
K00225,C00375,U0075,20251120,25615,4189,18804,완료,송시우
K00226,C00481,U0194,03-21-2026,33135,6368,26330,완료 ,송준서
K00227,C00113,U0093,2024-06-26,25945,3996,20987,완료 ,송시우
K00228,C00068,U0201,2025-03-04,31910,4270,26534,해지,황주원
K00229,C00009,U0121,2024-02-16,15211,2204,12848,완료 ,신지호
K00230,C00293,U0162,2024-01-17,10459,2009,7327,Completed,황주원
K00231,C00434,U0039,2024-06-15,23313,4593,16263,완료 ,권태윤
K00232,C00202,U0012,2025-11-05,21259,3537,16645,Completed,신지호
K00233,C00345,U0135,2024-10-06,11796,2352,6501,해지,송준서
K00234,C00490,U0006,2026-01-04,35346,4452,30224,진행중,신지호
K00235,C00576,U0040,2026-04-08,36328,4369,29478,진행중,황다은
K00236,C00141,U0074,2026-05-14,34236,4865,27607,완료,송시우
K00237,C00409,U0030,2025-06-16,28174,2963,24389,완료,황주원
K00238,C00169,U0005,2024/07/05,30542,4170,26244,진행중,신지호
K00239,C00560,U0204,2025-07-21,29184,5251,,완료,한채원
K00240,C00334,U0074,2024-10-04,21652,3972,16357,해지,송시우
K00241,C00142,U0022,2024-02-16,38484,4882,30922,완료 ,황주원
K00242,C00528,U0095,2024-11-11,33399,3775,27372,완료 ,송시우
K00243,C00375,U0016,2025-04-06,23003,3159,18207,완료,송준서
K00244,C00014,U0203,20241118,23238,4068,,완료,송시우
K00245,C00533,U0120,2024-11-05,10735,1510,7348,해지,송시우
K00246,C00248,U0189,2026-11-10,23562,3153,17650,complete,송준서
K00247,C00386,U0196,2024-05-16,32017,5922,,완료,황다은
K00248,C00090,U0078,2025-12-19,16299,2798,11251,완료 ,권태윤
K00249,C00436,U0149,2026-11-18,20368,3185,16940,완료,권태윤
K00250,C00231,U0063,2024-09-24,15396,2713,,Completed,황주원
K00251,C00047,U0030,2024-11-08,14387,2306,9194,해지,송시우
K00252,C00110,U0104,2026-03-19,21306,3577,15686,해지,송준서
K00253,C00396,U0098,2025-08-05,30855,5444,22871,진행중,황주원
K00254,C00497,U0004,01-14-2026,39422,7065,32268,완료 ,황주원
K00255,C00112,U0134,2024/10/17,28675,3577,24035,진행중,신지호
K00256,C00074,U0172,2026-06-20,35389,3716,30936,완료,송준서
K00257,C00093,U0031,2026-06-16,28608,3114,23329,진행중,황주원
K00258,C00053,U0110,2025-06-04,35250,4310,29854,완료 ,송준서
K00259,C00447,U0197,2024-07-28,12330,2392,8592,해지,송시우
K00260,C00231,U0175,09-24-2025,18830,3496,13399,완료,황다은
K00261,C00536,U0211,02-21-2024,12338,1458,10257,완료,권태윤
K00262,C00599,U0030,2025/08/18,17124,3026,12232,complete,송준서
K00263,C00558,U0023,2024-10-12,33643,3431,29679,진행중,황다은
K00264,C00558,U0088,2025-03-09,38623,6809,31282,완료 ,황다은
K00265,C00580,U0163,2025-10-17,34206,5100,26561,진행중,이소율
K00266,C00056,U0094,2026-08-16,15343,2608,10195,Completed,송시우
K00267,C00410,U0162,2026-02-26,21860,2791,,진행중,권태윤
K00268,C00003,U0098,20261005,23099,4177,18849,완료,권태윤
K00269,C00217,U0112,2026-10-11,19308,2792,14493,complete,권태윤
K00270,C00547,U0023,2024-04-03,24613,3874,20448,진행중,황주원
K00271,C00109,U0060,2025-07-03,23861,4174,18133,완료,황다은
K00272,C00320,U0166,2024-01-26,26341,4025,19815,complete,이소율
K00273,C00375,U0073,2024-06-04,20668,2536,17914,Completed,송시우
K00274,C00303,U0005,2026-12-01,17070,3221,12280,진행중,황다은
K00275,C00117,U0181,2025-11-19,32402,3783,26580,Completed,황다은
K00276,C00388,U0071,2025-09-22,20395,2436,,진행중,황주원
K00277,C00477,U0113,2026-08-05,10861,1568,8504,해지,황주원
K00278,C00456,U0170,2026-10-09,36191,4035,30618,complete,신지호
K00279,C00554,U0168,2026-05-22,19107,1922,14250,완료 ,이소율
K00280,C00062,U0092,2025-08-28,31815,5205,26588,완료,권태윤
K00281,C00318,U0012,03-12-2026,39749,4446,,Completed,이소율
K00282,C00244,U0011,2024-08-12,18974,2424,14854,완료,신지호
K00283,C00486,U0011,2026-08-22,10313,2030,8060,진행중,황주원
K00284,C00098,U0213,2024-01-06,22190,2978,17967,Completed,신지호
K00285,C00372,U0080,2026/08/07,29265,4807,23226,complete,송준서
K00286,C00490,U0086,20260620,34651,6243,27410,Completed,황다은
K00287,C00029,U0142,2025-12-16,38305,5432,,complete,송시우
K00288,C00338,U0078,20240111,38678,7247,28989,완료,신지호
K00289,C00258,U0009,2026-04-02,36315,5989,,완료 ,한채원
K00290,C00333,U0165,07-04-2025,11788,1438,8468,완료,황주원
K00291,C00493,U0142,2024-08-22,30964,5743,22728,진행중,한채원
K00292,C00281,U0151,2026-05-14,28602,5520,22883,해지,신지호
K00293,C00162,U0036,2024-03-20,26753,3261,21485,해지,이소율
K00294,C00003,U0034,2026-09-17,15017,1886,11705,Completed,신지호
K00295,C00544,U0161,2025-05-17,32807,4049,28612,완료 ,한채원
K00296,C00161,U0123,2025-08-27,21630,2197,18637,진행중,신지호
K00297,C00003,U0006,2024-12-22,37370,4960,29413,완료,황주원
K00298,C00290,U0104,2026-03-18,19626,3439,13693,완료,송시우
K00299,C00518,U0147,2024-07-26,28608,3657,22232,진행중,한채원
K00300,C00571,U0160,2026-07-21,27651,3002,21972,완료,권태윤
K00301,C00007,U0175,2026-12-03,22491,4064,18320,완료 ,송준서
K00302,C00268,U0010,2025/12/10,18576,1969,14370,진행중,황주원
K00303,C00543,U0167,2025-09-19,38356,6533,29275,진행중,신지호
K00304,C00017,U0099,2026-01-01,37652,7505,29943,완료,황주원
K00305,C00450,U0080,2024-07-21,33675,4676,,진행중,황주원
K00306,C00362,U0156,2024-07-28,28255,5563,20567,complete,황다은
K00307,C00179,U0203,2026-01-09,25716,3817,19023,완료 ,황다은
K00308,C00476,U0079,2024-01-08,12736,1739,8868,완료,이소율
K00309,C00063,U0160,2026-09-20,35335,4071,30020,완료 ,신지호
K00310,C00085,U0062,20260220,37617,5064,31686,완료,송준서
K00311,C00273,U0086,2024-03-28,23222,2861,17811,진행중,이소율
K00312,C00241,U0112,2026-08-02,28915,3776,23408,진행중,권태윤
K00313,C00096,U0167,2025-04-23,27636,4940,,완료,한채원
K00314,C00353,U0090,2025-11-28,23284,3730,16801,완료,송시우
K00315,C00118,U0190,2026-06-12,18140,2098,14115,진행중,이소율
K00316,C00443,U0179,20240811,36732,4847,28947,진행중,황주원
K00317,C00346,U0219,2024-12-07,36138,6295,28072,Completed,황다은
K00318,C00462,U0167,2024-08-07,22248,2267,18921,complete,권태윤
K00319,C00536,U0212,2024-05-26,30090,5693,,진행중,신지호
K00320,C00243,U0130,2025-12-12,34526,4073,27453,완료,신지호
K00321,C00517,U0011,20261112,25172,4339,18689,진행중,황다은
K00322,C00588,U0174,20240423,23394,4663,18649,진행중,황다은
K00323,C00518,U0058,2026-01-25,19854,3508,15177,완료 ,이소율
K00324,C00516,U0202,20251218,32139,4568,27204,완료 ,송준서
K00325,C00539,U0168,2024-12-28,26576,3147,21174,완료,황다은
K00326,C00087,U0101,2026-04-22,22790,4104,15869,진행중,이소율
K00327,C00410,U0055,05-11-2025,30521,4052,25777,진행중,황주원
K00328,C00065,U0144,11-09-2025,14309,2272,10454,완료,이소율
K00329,C00062,U0056,11-13-2026,33884,4853,26360,해지,권태윤
K00330,C00062,U0104,2024/07/22,16543,2512,13454,Completed,송준서
K00331,C00464,U0075,03-16-2026,32973,4930,27809,진행중,송준서
K00332,C00474,U0125,2025-10-11,31315,5497,24524,Completed,황주원
K00333,C00230,U0036,2024-04-11,27324,4225,23093,Completed,송준서
K00334,C00539,U0043,2024-02-01,19251,3072,15343,완료,송시우
K00335,C00082,U0078,20260117,28296,4703,22479,진행중,한채원
K00336,C00343,U0093,07-28-2024,33292,4974,26612,진행중,한채원
K00337,C00220,U0084,11-17-2024,19975,2462,14653,완료 ,이소율
K00338,C00321,U0198,09-23-2025,15786,1763,13889,완료 ,황주원
K00339,C00338,U0131,20241003,32691,6180,,complete,이소율
K00340,C00546,U0191,2025-01-07,32480,3938,26538,완료 ,송준서
K00341,C00450,U0025,2024/12/08,26185,4859,19068,complete,황다은
K00342,C00568,U0125,20250401,13812,1907,10048,완료,한채원
K00343,C00026,U0010,2026-06-08,11393,1160,9949,진행중,권태윤
K00344,C00274,U0135,20240728,15115,1806,13002,완료,황다은
K00345,C00370,U0187,2026-11-18,12980,2378,10296,해지,신지호
K00346,C00150,U0057,20250228,36737,5154,29555,진행중,송준서
K00347,C00205,U0061,2026-05-12,33363,5242,26344,진행중,권태윤
K00348,C00499,U0090,2024-04-12,23180,3964,17883,완료,황주원
K00349,C00381,U0017,2025-07-04,11163,2096,8762,complete,한채원
K00350,C00477,U0201,2024-11-05,22969,3314,,진행중,황주원
