unit_id,building,floor,unit_no,type,area_m2,price_10k_krw,status,direction,view
U0139,102,13,03,102A,102,330477,미계약,남향,단지내뷰
U0140,102,13,04,102A,102,270681,예약,서향,도로뷰
U0141,102,14,01,59A,59,173170,미계약,남동향,공원뷰
U0142,102,14,02,74A,74,178119,미계약,남향,단지내뷰
U0143,102,14,03,59A,59,157750,계약완료,서향,평범
U0144,102,14,04,59A,59,180966,계약완료,서향,단지내뷰
U0145,102,15,01,114A,114,334690,예약,남서향,도로뷰
U0146,102,15,02,84A,84,236415,계약완료,서향,한강뷰
U0147,102,15,03,74A,74,186439,계약완료,남동향,공원뷰
U0148,102,15,04,114A,114,324466,미계약,남서향,단지내뷰
U0149,102,16,01,114A,114,387879,계약완료,동향,평범
U0150,102,16,02,114A,114,385435,미계약,동향,평범
U0151,102,16,03,114A,114,267856,예약,동향,단지내뷰
U0152,102,16,04,84B,85,288041,미계약,북향,단지내뷰
U0153,102,17,01,102A,102,250357,미계약,남동향,평범
U0154,102,17,02,102A,102,334579,계약완료,서향,공원뷰
U0155,102,17,03,114A,114,384792,예약,서향,공원뷰
U0156,102,17,04,114A,114,334719,미계약,남서향,한강뷰
U0157,102,18,01,102A,102,275008,미계약,북향,도로뷰
U0158,102,18,02,59A,59,173075,미계약,서향,평범
U0159,102,18,03,84B,85,227373,미계약,동향,단지내뷰
U0160,102,18,04,114A,114,280686,계약완료,북향,단지내뷰
U0161,102,19,01,102A,102,254144,계약완료,서향,도로뷰
U0162,102,19,02,74A,74,179467,계약완료,남동향,공원뷰
U0163,102,19,03,84B,85,274111,보류,동향,공원뷰
U0164,102,19,04,84A,84,186587,계약완료,서향,단지내뷰
U0165,102,20,01,102A,102,321437,계약완료,남향,평범
U0166,102,20,02,59A,59,148718,계약완료,남동향,평범
U0167,102,20,03,84A,84,244722,계약완료,남동향,공원뷰
U0168,102,20,04,102A,102,284587,계약완료,서향,단지내뷰
U0169,102,21,01,84B,85,207158,계약완료,남서향,도로뷰
U0170,102,21,02,84A,84,256191,계약완료,북향,도로뷰
U0171,102,21,03,114A,114,363545,계약완료,동향,단지내뷰
U0172,102,21,04,114A,114,368545,계약완료,남향,단지내뷰
U0173,102,22,01,84B,85,252605,미계약,북향,도로뷰
U0174,102,22,02,84A,84,215707,미계약,서향,한강뷰
U0175,102,22,03,59B,60,169000,계약완료,남동향,단지내뷰
U0176,102,22,04,84B,85,288476,보류,북향,도로뷰
U0177,103,1,01,74A,74,220768,미계약,동향,한강뷰
U0178,103,1,02,114A,114,300197,미계약,남동향,단지내뷰
U0179,103,1,03,74A,74,177744,계약완료,남향,도로뷰
U0180,103,1,04,74A,74,236801,계약완료,동향,도로뷰
U0181,103,2,01,74A,74,178306,미계약,동향,한강뷰
U0182,103,2,02,59B,60,200383,미계약,남향,단지내뷰
U0183,103,2,03,59A,59,195698,미계약,남향,평범
U0184,103,2,04,114A,114,256741,계약완료,남동향,평범
U0185,103,3,01,102A,102,317955,계약완료,북향,도로뷰
U0186,103,3,02,59A,59,144575,보류,북향,도로뷰
U0187,103,3,03,59A,59,145960,미계약,남향,도로뷰
U0188,103,3,04,114A,114,268565,미계약,서향,공원뷰
U0189,103,4,01,84B,85,244940,미계약,남서향,단지내뷰
U0190,103,4,02,102A,102,241197,미계약,남향,평범
U0191,103,4,03,59A,59,192553,계약완료,남동향,한강뷰
U0192,103,4,04,102A,102,225539,계약완료,북향,공원뷰
U0193,103,5,01,102A,102,264786,미계약,북향,공원뷰
U0194,103,5,02,102A,102,327791,계약완료,남서향,한강뷰
U0195,103,5,03,84B,85,222743,계약완료,북향,단지내뷰
U0196,103,5,04,84B,85,224703,계약완료,북향,도로뷰
U0197,103,6,01,84B,85,254214,미계약,남서향,도로뷰
U0198,103,6,02,84A,84,277214,예약,서향,공원뷰
U0199,103,6,03,74A,74,236789,미계약,북향,단지내뷰
U0200,103,6,04,74A,74,245558,계약완료,동향,한강뷰
U0201,103,7,01,114A,114,318050,예약,서향,공원뷰
U0202,103,7,02,102A,102,312114,계약완료,서향,한강뷰
U0203,103,7,03,74A,74,224496,계약완료,북향,평범
U0204,103,7,04,84B,85,259969,계약완료,서향,도로뷰
U0205,103,8,01,84B,85,224575,계약완료,서향,도로뷰
U0206,103,8,02,102A,102,290884,계약완료,북향,평범
U0207,103,8,03,84A,84,228295,계약완료,남서향,공원뷰
U0208,103,8,04,74A,74,169445,계약완료,동향,단지내뷰
U0209,103,9,01,59B,60,197164,미계약,남향,단지내뷰
U0210,103,9,02,84B,85,243404,미계약,남향,한강뷰
U0211,103,9,03,114A,114,338133,미계약,서향,도로뷰
U0212,103,9,04,114A,114,378607,미계약,남동향,공원뷰
U0213,103,10,01,74A,74,243216,예약,남동향,평범
U0214,103,10,02,114A,114,303954,보류,서향,도로뷰
U0215,103,10,03,84A,84,222608,미계약,남향,한강뷰
U0216,103,10,04,114A,114,256130,계약완료,북향,평범
U0217,103,11,01,59A,59,148398,계약완료,동향,공원뷰
U0218,103,11,02,59A,59,161669,보류,북향,평범
U0219,103,11,03,59B,60,163967,계약완료,남동향,평범
U0220,103,11,04,59A,59,132288,미계약,동향,한강뷰
