month,channel,spend_10k_krw,impressions,clicks,leads
2024-12,포털검색광고,2611,287210,9038,1585
2024-12,옥외광고,3827,822805,9390,895
2024-12,지인추천이벤트,2471,326172,13820,2076
2024-12,전시관행사,3911,351990,15490,1456
2025-01,블로그,361,68590,2027,335
2025-01,SNS광고,3306,720708,13692,779
2025-01,포털검색광고,2602,556828,12016,764
2025-01,옥외광고,2064,414864,11847,1211
2025-01,지인추천이벤트,882,84672,2816,377
2025-01,전시관행사,3308,277872,6428,1027
2025-02,블로그,3909,410445,13604,742
2025-02,SNS광고,1749,356796,7752,1305
2025-02,포털검색광고,1555,262795,12469,1073
2025-02,옥외광고,3780,721980,24290,4335
2025-02,지인추천이벤트,776,123384,2454,267
2025-02,전시관행사,2077,415400,7597,1015
2025-03,블로그,1306,142354,5817,990
2025-03,SNS광고,1600,280000,7427,781
2025-03,포털검색광고,1588,314424,11003,1355
2025-03,옥외광고,1037,190808,3637,520
2025-03,지인추천이벤트,1194,145668,7069,1224
2025-03,전시관행사,2303,207270,3653,591
2025-04,블로그,2822,282200,9267,1653
2025-04,SNS광고,1637,301208,7897,724
2025-04,포털검색광고,3600,385200,18087,1528
2025-04,옥외광고,3106,431734,9639,508
2025-04,지인추천이벤트,2136,386616,11882,1916
2025-04,전시관행사,915,191235,5308,824
2025-05,블로그,2541,256641,9146,1347
2025-05,SNS광고,436,74120,3143,413
2025-05,포털검색광고,2688,284928,8214,418
2025-05,옥외광고,3088,457024,7972,644
2025-05,지인추천이벤트,3369,475029,13138,1901
2025-05,전시관행사,1180,233640,4667,260
2025-06,블로그,1192,118008,3660,308
2025-06,SNS광고,1476,146124,2562,414
2025-06,포털검색광고,2272,249920,10544,1554
2025-06,옥외광고,885,163725,2451,157
2025-06,지인추천이벤트,1475,292050,7380,1229
2025-06,전시관행사,403,77779,1415,155
2025-07,블로그,2272,313536,12328,1116
2025-07,SNS광고,1449,234738,11095,1699
2025-07,포털검색광고,2010,317580,8918,1532
2025-07,옥외광고,1094,105024,3788,572
2025-07,지인추천이벤트,2396,517536,11940,870
2025-07,전시관행사,1948,270772,7835,1131
2025-08,블로그,356,77964,3487,411
2025-08,SNS광고,2775,410700,7780,585
2025-08,포털검색광고,810,126360,4028,393
2025-08,옥외광고,2377,251962,6597,1103
2025-08,지인추천이벤트,340,72080,2247,126
2025-08,전시관행사,3076,452172,20746,2408
2025-09,블로그,2842,252938,10128,1389
2025-09,SNS광고,1452,220704,10576,1637
2025-09,포털검색광고,1056,225984,9326,990
2025-09,옥외광고,2214,292248,5988,593
2025-09,지인추천이벤트,3624,793656,22460,3354
2025-09,전시관행사,2077,272087,3571,440
2025-10,블로그,3124,321772,9862,736
2025-10,SNS광고,847,99946,3356,255
2025-10,포털검색광고,3349,271269,6027,306
2025-10,옥외광고,1238,99040,4065,542
2025-10,지인추천이벤트,3524,486312,10255,661
2025-10,전시관행사,631,114842,2463,255
2025-11,블로그,2678,340106,13268,1004
2025-11,SNS광고,3128,575552,18532,1157
2025-11,포털검색광고,3895,541405,25464,2845
2025-11,옥외광고,838,101398,3592,557
2025-11,지인추천이벤트,3498,370788,11987,1166
2025-11,전시관행사,3978,529074,19240,1425
2025-12,블로그,3119,648752,20368,1108
2025-12,SNS광고,1016,103632,1865,211
2025-12,포털검색광고,1971,183303,6611,540
2025-12,옥외광고,1573,154154,7176,800
2025-12,지인추천이벤트,2434,477064,12473,874
2025-12,전시관행사,2319,368721,12504,648
